ID_Producto,Nombre_Producto,Categoria,Marca,Precio_Costo,Precio_Venta,Stock_Actual
"00118,than,Tablet,""Hayes, Smith and White"",103.03,658.61,74"
00119,quality,Accessory,Moore-Newton,449.69,436.79,6
"00120,edge,Smartphone,""Miller, Parrish and Gomez"",199.67,506.83,34"
00121,arm,Accessory,Carey Inc,356.76,338.48,99
00122,will,Laptop,Cline PLC,403.45,95.07,21
00123,wish,Tablet,Conley-Edwards,126.91,369.96,82
00124,certainly,Smartphone,Rodriguez Ltd,189.43,661.54,46
00125,such,Tablet,Cervantes-Church,261.08,264.8,18
"00126,bring,Smartphone,""Davis, Meyer and Gomez"",77.1,660.34,58"
"00127,character,Smartphone,""Mills, Jones and Maldonado"",329.21,673.34,76"
00128,girl,Smartphone,Peters PLC,477.37,165.11,84
00129,believe,Smartphone,Medina LLC,267.46,71.37,15
00130,quickly,Laptop,Graham Ltd,158.64,85.69,58
"00131,want,Smartphone,""Tucker, Moran and Carlson"",146.23,654.69,31"
00132,rate,Tablet,Pearson-Mcbride,380.29,380.31,62
00133,any,Smartphone,Gaines-Hubbard,166.54,205.33,81
00134,kind,Tablet,Moore and Sons,303.0,107.11,0
00135,position,Tablet,Rodriguez-Greene,65.47,559.94,95
00136,early,Smartphone,Sellers Inc,362.34,564.5,61
00137,technology,Smartphone,Wilson-Wade,341.67,376.8,50
"00138,author,Smartphone,""Adams, Dickerson and Nelson"",401.42,608.9,64"
00139,effort,Tablet,Calhoun-Hodges,292.6,357.37,40
"00140,dinner,Tablet,""Taylor, Leblanc and King"",306.02,493.23,19"
00141,church,Accessory,Warner-Aguirre,320.86,488.48,73
00142,seat,Tablet,Daniel-Miranda,497.15,189.25,19
00143,financial,Smartphone,Jones and Sons,161.21,403.45,49
"00144,factor,Laptop,""Rodriguez, Johnson and Brown"",493.25,519.48,22"
"00145,environmental,Laptop,""Hunt, Liu and Graham"",487.37,243.23,15"
00146,black,Smartphone,Lara-Taylor,171.95,243.66,95
00147,high,Laptop,Ochoa LLC,456.35,92.98,88
00148,ago,Accessory,King Inc,81.09,395.68,50
"00149,we,Laptop,""Gardner, Carson and Brown"",382.47,504.82,72"
"00150,now,Tablet,""Bowers, Anderson and Munoz"",102.98,450.92,46"
00151,stage,Tablet,Walker-Hancock,164.1,599.65,6
00152,no,Tablet,Thompson-Barker,244.2,566.92,67
"00153,make,Smartphone,""Edwards, Owens and Estrada"",137.61,283.53,41"
"00154,be,Accessory,""Johnson, Mercer and Luna"",171.81,660.06,44"
00155,under,Smartphone,Becker-Mack,90.78,629.15,85
"00156,account,Laptop,""Jordan, Jackson and Wyatt"",263.11,515.29,47"
"00157,director,Tablet,""Smith, Ballard and Blankenship"",316.03,394.52,97"
00158,stop,Accessory,Finley-Wilson,473.36,632.18,54
00159,environment,Smartphone,Lewis and Sons,210.35,246.78,79
00160,commercial,Accessory,Gomez-Lee,458.6,682.26,42
"00161,everyone,Accessory,""Mckenzie, Acosta and Schultz"",324.77,576.84,94"
00162,case,Laptop,Garcia-Lee,130.12,183.25,45
"00163,bring,Accessory,""Luna, Monroe and Hughes"",391.9,526.2,34"
00164,shake,Smartphone,Lyons-Greene,289.67,79.99,81
00165,soon,Smartphone,Douglas Group,469.99,630.69,49
00166,including,Tablet,Williams-Rodriguez,120.81,569.94,27
"00167,support,Tablet,""Jones, Perry and Reid"",350.48,279.67,69"
00168,produce,Smartphone,Gibson and Sons,78.6,600.98,18
"00169,space,Tablet,""Medina, Smith and Reynolds"",356.59,125.95,97"
"00170,defense,Laptop,""Moreno, Howard and Coffey"",232.26,150.87,20"
00171,commercial,Laptop,Butler-Morris,248.04,146.3,82
00172,determine,Smartphone,Ortiz Group,318.59,367.68,24
00173,product,Laptop,Pruitt-Buck,239.76,517.92,25
"00174,business,Tablet,""Harris, Jones and Brown"",414.46,629.92,17"
00175,campaign,Accessory,Silva PLC,410.78,385.62,8
00176,teach,Laptop,Allen PLC,189.12,238.87,0
"00177,although,Accessory,""Perez, Watson and Lynn"",115.16,533.62,11"
00178,dream,Accessory,Mccormick Ltd,454.73,432.34,98
00179,lay,Smartphone,Moore-Holmes,339.76,110.96,48
"00180,job,Smartphone,""Wilson, Harris and Hayes"",441.69,184.95,18"
00181,image,Accessory,Clark-Jones,317.88,595.1,66
00182,many,Accessory,White-Santos,496.9,656.29,93
00183,goal,Accessory,Krueger-Watts,248.92,221.44,3
"00184,especially,Laptop,""Williams, Skinner and Franklin"",90.54,189.29,83"
"00185,knowledge,Smartphone,""Morales, Holder and Gutierrez"",475.87,402.52,51"
"00186,degree,Tablet,""Harrison, Foster and Reed"",429.04,556.03,84"
00187,performance,Laptop,Coleman LLC,232.03,317.81,62
"00188,fire,Smartphone,""Salazar, Parker and Griffin"",138.22,558.79,60"
00189,Congress,Accessory,Robertson LLC,315.11,593.32,97
00190,charge,Tablet,Herrera and Sons,233.67,99.15,70
00191,report,Laptop,Miller Inc,393.53,420.22,8
00192,forget,Laptop,Price and Sons,276.3,500.28,79
00193,cut,Accessory,Martin Inc,333.94,646.31,72
00194,statement,Accessory,Tucker and Sons,134.02,167.98,55
00195,if,Smartphone,Bruce PLC,305.32,499.83,23
00196,tax,Smartphone,Edwards Group,326.29,456.69,69
00197,boy,Laptop,Brown and Sons,63.57,77.92,32
"00198,nothing,Smartphone,""Finley, Murray and Williams"",351.66,76.6,74"
00199,out,Tablet,Davidson-Huerta,178.22,386.13,79
00200,leave,Tablet,Ramirez-Lewis,183.87,507.83,84
00201,oil,Smartphone,Martin-Wright,438.17,169.59,11
00202,member,Tablet,Owens-Glenn,471.22,366.95,77
00203,meet,Accessory,Miller Group,431.2,78.84,34
00204,school,Smartphone,Brewer-Brooks,242.5,258.03,25
"00205,training,Accessory,""Hamilton, Schroeder and Fuller"",308.35,298.98,4"
"00206,half,Smartphone,""Lewis, Shepard and Thomas"",327.29,314.67,82"
00207,prepare,Tablet,Santos LLC,80.54,502.74,20
"00208,bag,Laptop,""Roman, Harrington and Taylor"",388.94,296.68,8"
00209,here,Smartphone,Lee Group,216.52,573.79,41
00210,machine,Tablet,Carter Group,363.35,666.48,1
00211,matter,Accessory,Fox Ltd,407.7,614.0,11
00212,huge,Tablet,Santos-Cunningham,429.67,485.22,31
00213,others,Accessory,Russell Inc,416.11,441.39,25
"00214,morning,Smartphone,""Murphy, Smith and Edwards"",190.83,169.84,44"
00215,find,Accessory,Robinson-Tran,463.34,131.88,25
00216,organization,Smartphone,Weaver-Baldwin,355.41,288.22,75
00217,five,Accessory,Cruz-Davis,266.18,185.92,6
"00218,detail,Tablet,""Cruz, Singleton and Rollins"",427.02,230.3,74"
00219,attorney,Smartphone,Adams-Brown,344.96,169.03,50
00220,bad,Accessory,Taylor-Neal,393.9,451.11,79
00221,from,Accessory,Pennington-Bowen,274.04,166.21,51
00222,such,Laptop,Howell PLC,485.68,419.59,15
00223,region,Laptop,Miller LLC,83.26,562.55,92
00224,still,Laptop,Noble LLC,155.06,263.04,77
00225,kid,Laptop,Holder-Schroeder,237.76,531.86,77
"00226,force,Accessory,""Joseph, Matthews and Benjamin"",330.25,683.68,68"
00227,fear,Smartphone,Nelson PLC,197.68,699.23,85
"00228,movement,Accessory,""Jones, Fox and Michael"",374.96,330.64,43"
00229,wonder,Tablet,Olson-Carlson,76.96,247.81,81
00230,feeling,Tablet,Dawson and Sons,488.07,216.93,8
"00231,decade,Accessory,""Wilson, Andrade and Baker"",200.56,655.4,65"
00232,couple,Accessory,Patterson Ltd,387.02,698.27,24
00233,history,Laptop,Cook PLC,456.42,267.26,7
00234,put,Smartphone,Mcmahon-Dillon,80.67,430.25,92
00235,into,Laptop,Moore-Marks,175.64,506.32,80
00236,skill,Accessory,Kelly-Day,75.24,159.97,34
00237,Congress,Smartphone,Johnston LLC,154.87,327.35,50
00238,quite,Smartphone,Robinson-Martinez,244.4,570.11,38
00239,tree,Accessory,Hudson-Jenkins,118.47,643.95,39
"00240,piece,Smartphone,""Gordon, Fowler and Stewart"",306.76,532.17,69"
00241,property,Laptop,Carey Inc,373.89,166.81,2
00242,community,Tablet,Mcbride Ltd,482.0,206.49,2
00243,community,Smartphone,Cain-Hancock,454.32,120.44,18
"00244,page,Smartphone,""Cook, Johnson and Leblanc"",200.46,630.17,71"
00245,recent,Laptop,Clayton PLC,102.95,566.88,24
00246,rather,Laptop,Schmitt Group,294.84,177.57,28
00247,right,Tablet,Le-Williams,327.99,379.26,43
00248,put,Laptop,Cox Ltd,440.68,608.25,17
00249,edge,Accessory,Boyd LLC,83.51,115.5,35
"00250,management,Laptop,""Brown, Deleon and Gutierrez"",225.05,695.69,61"
00251,husband,Smartphone,Mooney-Liu,445.5,439.12,68
"00252,side,Smartphone,""Sanders, Greer and Cohen"",348.49,545.82,32"
"00253,pressure,Accessory,""Yoder, Carter and Castillo"",100.26,395.75,3"
00254,table,Laptop,Small-Caldwell,440.17,566.82,31
"00255,indeed,Tablet,""Bauer, Blackwell and Cummings"",240.45,293.64,15"
"00256,daughter,Accessory,""Turner, Johnson and Banks"",216.37,554.5,58"
00257,return,Accessory,Meyer-Walker,236.65,666.28,56
"00258,coach,Tablet,""Parker, Brooks and Burton"",465.36,120.97,91"
"00259,public,Smartphone,""Smith, Mann and Vance"",434.26,252.22,24"
00260,for,Laptop,Reynolds LLC,237.71,471.14,77
00261,camera,Tablet,Dixon LLC,92.54,609.68,20
00262,ready,Tablet,Bell-Mcmillan,229.1,412.67,71
00263,teacher,Smartphone,Edwards Ltd,375.33,531.03,59
00264,huge,Tablet,Sparks-David,313.05,594.62,17
00265,choose,Tablet,Richardson PLC,434.12,425.26,40
00266,need,Tablet,Lynch-Lopez,421.17,544.14,92
00267,six,Laptop,Thompson-Bates,301.02,172.74,87
"00268,report,Laptop,""Hansen, Wyatt and Miller"",436.51,598.95,41"
00269,idea,Smartphone,Solis-Hill,362.15,211.08,22
00270,sound,Smartphone,Bennett PLC,442.93,337.12,67
"00271,point,Smartphone,""Hughes, Chung and Robinson"",239.39,258.14,3"
"00272,model,Accessory,""Stone, Williams and Ramirez"",292.37,459.65,7"
00273,thought,Smartphone,Singh Inc,274.98,509.99,77
"00274,six,Accessory,""Schmidt, Sawyer and Sanders"",163.4,454.15,34"
00275,agreement,Accessory,Shaw PLC,384.72,452.82,81
"00276,capital,Smartphone,""Ruiz, Meyer and Bryant"",324.33,369.29,96"
00277,police,Tablet,Williams Group,268.11,314.78,60
00278,day,Accessory,Turner LLC,242.85,149.39,13
00279,sport,Accessory,Faulkner-Moore,275.82,511.39,52
00280,store,Smartphone,Allen and Sons,68.45,455.67,83
00281,process,Laptop,Castro and Sons,312.97,255.04,8
00282,education,Smartphone,Frazier PLC,147.37,279.33,70
"00283,yard,Smartphone,""Hernandez, Diaz and Higgins"",50.52,690.26,2"
00284,allow,Accessory,Howard-Stevens,347.77,138.67,82
00285,however,Accessory,Brown and Sons,229.63,547.21,79
00286,lot,Laptop,Fischer-Donaldson,55.37,244.56,26
00287,take,Smartphone,Bishop-Mcguire,424.32,94.73,22
00288,sound,Accessory,Waller-Morgan,255.29,592.22,81
00289,general,Laptop,Cruz-Franklin,280.76,335.01,72
"00290,opportunity,Tablet,""Cummings, Carter and Villegas"",140.4,298.1,75"
00291,effect,Tablet,Sullivan LLC,461.82,164.95,19
00292,under,Smartphone,Stevenson-Williams,63.07,206.94,15
"00293,keep,Accessory,""Griffith, Oconnor and Turner"",273.7,306.61,48"
00294,raise,Smartphone,Cook-Brown,477.22,649.5,90
00295,attorney,Smartphone,Perez-Sanford,449.47,91.04,77
"00296,present,Laptop,""Hernandez, Leblanc and Robles"",191.46,135.71,10"
00297,environment,Accessory,Foster Inc,169.6,138.24,12
00298,mean,Accessory,Phillips Ltd,418.49,470.78,27
00299,natural,Tablet,Gallagher PLC,379.21,445.2,11
00300,cell,Accessory,Lambert LLC,342.24,504.15,60
00301,include,Smartphone,Stout Group,144.74,450.37,65
00302,fall,Smartphone,Farmer Ltd,234.15,339.32,34
00303,possible,Smartphone,Morrow LLC,457.7,456.37,53
00304,gas,Laptop,Salazar Group,357.29,600.1,81
"00305,boy,Laptop,""Hernandez, Lyons and Gonzalez"",497.03,61.75,76"
00306,maintain,Smartphone,Payne Group,235.45,305.62,19
00307,audience,Smartphone,Lutz-Dunn,438.72,687.22,99
00308,important,Tablet,Thomas Ltd,447.81,649.66,9
00309,clear,Tablet,Walters Group,302.18,118.41,35
"00310,federal,Smartphone,""Weber, Thomas and Marshall"",400.71,388.8,91"
"00311,show,Accessory,""Greer, Smith and Estrada"",474.21,420.67,66"
00312,computer,Accessory,Moore Ltd,220.55,318.88,49
"00313,open,Tablet,""Mcdonald, Mason and Richardson"",291.99,195.3,85"
00314,apply,Laptop,Mejia-Dominguez,483.62,533.45,100
00315,choose,Tablet,Carpenter-Andrews,446.08,115.21,11
"00316,hospital,Tablet,""Mueller, Alexander and Holt"",289.4,94.09,94"
00317,card,Tablet,Miller-Henry,486.81,223.56,91
00318,put,Smartphone,Barnes-Jones,437.28,369.03,74
00319,both,Tablet,Wong Inc,492.29,516.29,90
00320,let,Tablet,Baker Group,251.54,606.82,34
00321,rich,Accessory,Jackson and Sons,330.29,197.89,74
00322,treat,Accessory,Jones-Fisher,483.84,267.47,69
00323,me,Smartphone,Blair-King,236.31,237.75,96
00324,rise,Laptop,Williams-Murray,162.73,306.36,90
00325,know,Tablet,Jones Inc,412.83,457.4,89
00326,letter,Accessory,Foster-Marquez,192.85,367.19,46
00327,later,Tablet,Braun PLC,55.59,423.67,41
00328,growth,Laptop,Perez-Butler,173.81,390.87,97
"00329,section,Tablet,""Schroeder, Carpenter and Blackburn"",85.08,408.98,5"
"00330,result,Laptop,""Moore, Vasquez and Richardson"",363.0,276.86,86"
"00331,oil,Smartphone,""Garcia, Malone and Henry"",263.11,215.64,76"
00332,week,Tablet,Chen-Schwartz,180.55,666.59,57
00333,per,Tablet,Bright Group,83.6,596.17,69
00334,area,Laptop,Hutchinson and Sons,478.73,364.17,47
00335,Republican,Laptop,Willis Group,395.77,311.27,45
"00336,carry,Accessory,""Brooks, Lopez and Holland"",442.97,158.01,90"
"00337,particularly,Tablet,""Stevens, Collins and Alvarez"",456.28,576.21,13"
00338,quality,Accessory,Mueller Ltd,481.34,628.77,100
00339,fall,Accessory,Rivas and Sons,464.46,675.94,69
00340,who,Laptop,Reilly and Sons,232.86,465.08,80
"00341,service,Laptop,""Wells, Vazquez and Johnson"",248.3,197.83,71"
"00342,far,Tablet,""Reese, Roberts and Williams"",411.08,134.05,99"
"00343,rest,Accessory,""Dyer, Padilla and Flynn"",314.98,511.64,48"
00344,everything,Tablet,Arnold-Cook,70.91,609.53,11
00345,win,Smartphone,Lawrence and Sons,482.62,669.19,21
00346,scene,Smartphone,Spence-Sherman,421.77,630.09,93
00347,stop,Laptop,Carroll Ltd,130.19,393.5,38
00348,tough,Smartphone,Bradley-Baldwin,259.85,164.22,6
00349,next,Smartphone,Johnson Inc,389.68,667.92,99
00350,prove,Accessory,Diaz-Rocha,255.64,80.92,45
"00351,example,Smartphone,""Rivers, Richardson and Park"",288.32,270.71,92"
"00352,record,Accessory,""Butler, Mcdonald and Mcdonald"",398.82,586.34,95"
00353,table,Tablet,Barnes PLC,393.74,307.13,42
00354,serve,Tablet,Wells-Blackwell,80.81,556.53,64
00355,necessary,Tablet,Raymond-Jones,207.56,482.07,71
"00356,produce,Tablet,""Olsen, Bowman and Hayes"",52.85,402.35,60"
"00357,remember,Laptop,""Herrera, Dunn and Montgomery"",223.79,211.42,18"
00358,inside,Accessory,Castaneda Ltd,300.86,77.99,36
"00359,wall,Laptop,""Cunningham, Ward and Howe"",349.7,339.1,54"
"00360,dream,Laptop,""Roman, Valencia and Evans"",277.0,377.11,34"
00361,age,Laptop,Day-Rivera,332.13,450.44,39
00362,right,Smartphone,Ford-Orr,334.96,315.25,99
00363,one,Smartphone,Cummings-Adams,405.76,437.24,99
00364,ready,Accessory,Mitchell-Murphy,476.9,277.23,29
"00365,four,Smartphone,""Gordon, Alvarez and Johnson"",317.49,425.01,60"
00366,ever,Laptop,Kim Ltd,171.5,200.59,52
00367,skin,Laptop,Arnold LLC,206.33,100.81,24
"00368,need,Tablet,""Schneider, Fletcher and Garcia"",177.76,651.26,1"
"00369,machine,Smartphone,""Landry, Parks and Johnson"",379.01,220.23,66"
"00370,large,Accessory,""Page, Lester and Smith"",221.46,351.63,8"
00371,always,Smartphone,Cochran-Mckenzie,62.55,625.87,39
00372,quality,Laptop,Maldonado Group,384.56,584.45,21
"00373,candidate,Tablet,""Chapman, Cohen and Smith"",100.31,494.16,6"
00374,weight,Laptop,Simon-Rodriguez,268.44,615.32,58
00375,as,Smartphone,Petty-Chung,389.13,654.49,76
00376,generation,Accessory,Ortega-Cabrera,169.49,679.86,39
00377,issue,Smartphone,Martin-Mata,99.59,155.73,69
"00378,office,Accessory,""Levine, Bush and Arnold"",345.35,524.32,50"
"00379,his,Tablet,""Austin, Cuevas and Webb"",356.47,692.24,23"
00380,city,Accessory,Hopkins LLC,62.45,91.23,67
"00381,impact,Accessory,""Fox, Warren and Hines"",360.02,288.46,22"
00382,product,Smartphone,Parker PLC,107.73,391.98,28
"00383,law,Tablet,""Moore, Esparza and Jackson"",138.34,551.24,35"
00384,woman,Smartphone,Harris-Hurley,201.59,330.43,26
"00385,that,Accessory,""Harris, Arnold and Ruiz"",499.5,235.43,10"
"00386,animal,Smartphone,""Murphy, Lee and Alvarado"",354.61,217.06,10"
00387,group,Tablet,Perez-Miller,286.13,559.09,19
00388,such,Smartphone,Crawford-Romero,56.69,302.46,75
00389,cover,Tablet,Munoz-Grant,121.58,378.69,31
"00390,two,Tablet,""Dennis, Archer and Ferguson"",393.92,655.44,34"
"00391,economy,Laptop,""Kaufman, Potter and Simmons"",428.71,678.73,17"
00392,or,Accessory,Gray-Juarez,269.7,405.07,35
00393,color,Accessory,Lee-Gross,366.86,103.81,91
"00394,phone,Tablet,""Nelson, Singleton and Copeland"",186.0,374.5,8"
"00395,from,Smartphone,""Edwards, Andrews and Hanna"",95.65,484.2,61"
00396,write,Tablet,Harris Group,98.23,572.63,91
00397,condition,Smartphone,Harris Inc,213.22,591.49,6
"00398,can,Smartphone,""Henson, Pace and Johnson"",236.43,494.1,87"
00399,themselves,Tablet,Mercer Group,409.37,272.17,86
00400,never,Smartphone,Noble-Calderon,199.71,79.27,62
00401,other,Laptop,Cohen Ltd,315.46,493.06,52
00402,common,Accessory,Smith Group,243.65,398.7,47
00403,thank,Accessory,Rangel-Green,93.38,685.03,41
"00404,officer,Accessory,""Riley, Larson and Dickson"",393.04,629.56,69"
00405,north,Accessory,Caldwell-Chan,426.17,428.59,80
"00406,pretty,Laptop,""Parks, Henderson and Reyes"",340.97,96.58,63"
00407,number,Laptop,Lewis-Christensen,210.1,68.64,83
00408,office,Smartphone,Martinez-Hart,320.07,535.47,34
00409,necessary,Accessory,Brennan-Figueroa,463.39,93.22,20
"00410,entire,Accessory,""Scott, Kelly and Grant"",136.19,303.23,68"
00411,lead,Tablet,Garcia LLC,400.99,97.15,69
00412,democratic,Tablet,Clark PLC,335.48,381.55,20
"00413,worry,Smartphone,""Perez, Terry and Lewis"",115.74,284.4,15"
00414,current,Smartphone,Gutierrez Inc,308.52,606.54,45
00415,baby,Laptop,Martin and Sons,324.67,117.24,73
"00416,approach,Laptop,""Yates, Phillips and Bradley"",434.41,347.41,85"
00417,cultural,Tablet,Barron Inc,433.92,623.46,87
00418,audience,Laptop,Green-Potter,51.1,436.75,69
00419,animal,Accessory,Russell Inc,239.44,79.89,40
00420,mind,Laptop,Wagner-Miller,220.44,659.33,20
00421,material,Accessory,Green Inc,380.43,428.74,10
00422,store,Accessory,Woodard Group,90.73,620.79,87
00423,matter,Tablet,Lopez-Garcia,50.65,127.81,6
"00424,image,Laptop,""Powell, Fisher and Moore"",161.25,649.81,100"
00425,ten,Smartphone,Anderson-Patel,329.03,131.66,98
"00426,industry,Accessory,""Guzman, Weber and Doyle"",333.58,382.32,65"
00427,during,Laptop,Hester Group,175.88,292.14,66
00428,reach,Tablet,Schmidt LLC,154.88,536.71,52
00429,guy,Smartphone,Riley-Flores,422.37,321.24,34
