ID_Venta,ID_Producto,ID_Cliente,ID_Vendedor,Fecha_Venta,Cantidad,Precio_Unitario,Descuento,Impuestos,Total_Venta,Metodo_Pago
00065,00301,00185,00354,2020-03-05,7,349.64,12.84,9.26,595.43,00830
00066,01677,00214,00528,2020-03-06,3,667.6,5.09,8.26,804.46,01072
00067,00918,01854,00705,2020-03-07,5,396.42,1.74,12.06,978.03,00014
00068,01569,01492,00601,2020-03-08,5,486.36,19.4,8.94,455.27,00476
00069,01654,01339,01699,2020-03-09,10,269.18,7.28,7.64,189.91,01740
00070,00711,00703,01070,2020-03-10,2,286.86,19.57,12.9,375.13,00714
00071,00510,00386,00933,2020-03-11,3,266.99,6.19,11.09,695.04,01465
00072,01986,00744,01211,2020-03-12,2,623.48,1.59,5.74,510.5,00039
00073,01954,00328,01861,2020-03-13,6,575.16,2.4,5.4,332.4,01064
00074,01497,01210,01986,2020-03-14,8,483.45,15.58,7.12,114.35,00168
00075,01906,00356,00411,2020-03-15,2,279.42,12.62,9.18,312.35,01879
00076,00360,00409,00250,2020-03-16,4,104.52,10.33,11.12,990.62,00324
00077,00361,00292,00958,2020-03-17,3,601.32,7.1,9.53,192.57,01297
00078,01518,00072,00589,2020-03-18,7,573.86,11.04,10.29,804.39,00418
00079,01476,01677,01109,2020-03-19,6,670.23,12.61,5.09,967.56,01630
00080,01203,00369,00469,2020-03-20,3,338.18,3.69,5.69,104.16,00276
00081,00181,01659,01186,2020-03-21,10,376.66,11.73,7.82,942.59,00212
00082,01299,01448,00397,2020-03-22,9,92.39,3.35,8.07,734.57,01039
00083,00381,00190,01472,2020-03-23,6,423.67,5.44,7.56,661.22,01259
00084,00773,01929,00292,2020-03-24,9,317.84,18.41,14.08,642.79,01956
00085,01711,00206,01327,2020-03-25,10,573.02,3.73,11.25,718.33,01611
00086,01343,01722,00005,2020-03-26,2,129.46,15.63,11.28,960.46,00742
00087,01159,01732,01868,2020-03-27,4,333.9,18.4,11.98,687.17,00224
00088,00944,01425,00816,2020-03-28,3,466.38,5.87,6.28,865.03,01887
00089,01283,01604,00890,2020-03-29,9,456.65,16.08,11.68,716.63,00531
00090,01787,00049,01106,2020-03-30,2,154.99,15.55,11.3,515.03,01759
00091,00251,00046,00390,2020-03-31,6,197.8,16.88,11.32,426.78,01111
00092,01746,00061,00311,2020-04-01,2,623.45,3.19,13.86,929.34,01308
00093,01040,00904,00518,2020-04-02,4,605.1,7.37,6.24,112.72,00058
00094,00574,00082,01860,2020-04-03,5,114.95,14.07,5.52,424.82,00006
00095,01842,01169,00312,2020-04-04,2,490.42,7.81,13.4,362.95,01870
00096,00209,00213,01717,2020-04-05,7,99.44,4.75,13.39,384.86,01016
00097,00011,01911,01160,2020-04-06,4,578.14,15.75,12.72,260.01,00143
00098,00860,00440,00766,2020-04-07,5,389.24,1.15,10.13,674.13,00315
00099,01220,00518,01657,2020-04-08,8,216.98,15.43,6.14,774.03,01287
00100,01942,00863,00265,2020-04-09,3,252.65,17.47,8.16,726.1,01397
00101,00362,01409,00840,2020-04-10,10,487.81,10.83,14.32,575.93,01371
00102,00714,00834,01688,2020-04-11,10,236.65,16.32,13.26,744.03,01088
00103,00047,00898,00367,2020-04-12,4,156.61,9.65,14.4,254.53,00652
00104,01470,00645,00825,2020-04-13,7,142.57,10.92,13.58,691.36,00219
00105,01745,01762,00710,2020-04-14,5,630.67,15.35,11.23,953.14,00020
00106,01273,01082,00838,2020-04-15,1,516.84,8.08,5.03,534.08,01465
00107,00276,00764,00579,2020-04-16,6,175.81,13.23,7.27,887.74,00924
00108,00931,00795,01946,2020-04-17,2,252.28,0.88,9.16,210.47,00226
00109,00734,01427,01521,2020-04-18,5,402.98,5.8,9.76,303.15,01258
00110,01016,00522,00265,2020-04-19,10,484.6,17.32,8.64,388.27,01288
00111,00696,01668,00437,2020-04-20,3,340.61,18.41,9.69,571.01,00309
00112,01373,01879,00161,2020-04-21,10,253.87,5.05,10.53,735.5,00379
00113,01406,00922,00477,2020-04-22,9,236.1,16.51,12.45,443.43,00321
00114,00848,00053,00027,2020-04-23,4,506.41,8.92,12.94,842.4,01541
00115,00270,01833,00910,2020-04-24,9,504.12,18.92,13.83,499.41,00779
00116,01956,01408,00819,2020-04-25,3,630.39,11.92,13.89,652.93,01431
00117,00423,00970,01490,2020-04-26,10,312.04,5.45,9.5,379.21,00894
00118,00736,01504,01311,2020-04-27,7,684.82,8.31,12.68,486.64,00350
00119,00049,01953,00397,2020-04-28,3,547.22,17.82,9.44,767.49,00456
00120,00181,01559,01350,2020-04-29,4,174.18,1.63,10.64,459.96,00907
00121,00078,00674,01505,2020-04-30,2,348.72,3.38,11.92,969.81,00354
00122,00244,00513,01381,2020-05-01,10,74.57,0.71,5.37,320.11,01480
00123,01037,00628,01900,2020-05-02,1,653.22,5.7,9.17,349.92,00359
00124,00435,01843,01894,2020-05-03,5,691.72,4.67,8.72,244.95,01307
00125,01014,00242,01150,2020-05-04,1,308.9,7.96,7.08,206.65,01559
00126,01413,01312,01233,2020-05-05,5,475.74,1.42,5.0,548.94,00209
00127,00618,01744,00423,2020-05-06,2,117.86,8.46,10.93,120.52,01268
00128,00078,01115,00779,2020-05-07,8,274.8,0.1,5.39,520.21,01274
00129,01396,01546,00191,2020-05-08,5,193.19,18.97,11.76,382.79,00881
00130,01614,01620,00096,2020-05-09,6,499.39,2.35,13.98,915.73,00902
00131,01536,00503,01407,2020-05-10,6,632.93,1.66,14.04,211.86,00659
00132,00654,00467,00646,2020-05-11,8,70.47,4.0,12.31,396.2,01796
00133,00052,00891,00943,2020-05-12,5,142.38,19.12,13.1,269.63,01323
00134,00705,00588,00721,2020-05-13,9,287.5,7.91,13.36,781.94,01801
00135,01177,01820,00343,2020-05-14,10,164.34,1.46,13.65,882.47,00158
00136,00871,01632,01768,2020-05-15,8,115.98,0.82,14.54,575.57,00745
00137,01994,00610,00152,2020-05-16,5,339.71,14.71,8.24,450.03,01431
00138,01836,00509,01890,2020-05-17,10,100.23,11.72,8.93,301.06,01123
00139,01148,01521,00578,2020-05-18,8,675.61,8.87,10.93,654.27,01055
00140,00162,01166,00752,2020-05-19,6,516.67,3.06,5.61,635.5,01534
00141,00712,00050,00766,2020-05-20,4,574.99,1.91,10.8,978.17,01097
00142,00465,01385,01826,2020-05-21,8,282.33,12.83,9.11,617.42,00107
00143,00492,01254,01297,2020-05-22,2,504.03,12.68,10.26,607.9,00715
00144,01370,00948,01979,2020-05-23,10,430.0,8.08,7.55,848.61,01149
00145,01247,01946,01472,2020-05-24,4,203.27,11.56,6.73,552.1,00164
00146,01819,01269,00161,2020-05-25,7,445.8,10.85,11.31,582.82,00083
00147,01716,00565,01072,2020-05-26,8,429.69,10.33,7.25,186.4,01356
00148,01796,00507,01325,2020-05-27,6,88.57,6.82,13.32,818.75,01450
00149,00599,01887,00048,2020-05-28,7,443.76,0.36,13.22,691.2,00303
00150,00526,01680,00836,2020-05-29,2,622.98,15.1,9.91,852.16,00766
00151,00883,01859,01235,2020-05-30,1,150.21,1.57,5.37,215.65,01289
00152,01321,00954,00580,2020-05-31,6,282.68,2.13,11.13,204.55,01648
00153,00792,01922,01515,2020-06-01,10,263.28,17.56,10.39,630.95,00683
00154,00558,00623,00120,2020-06-02,10,638.48,11.14,9.9,730.28,00525
00155,00260,00201,00650,2020-06-03,9,165.07,10.38,10.12,643.53,00598
00156,01424,00402,00822,2020-06-04,2,573.84,5.89,9.73,428.05,00639
00157,01499,01398,01585,2020-06-05,10,156.99,13.91,12.49,691.28,01678
00158,01628,01156,01361,2020-06-06,1,467.54,0.82,14.46,314.38,00260
00159,00480,01988,00882,2020-06-07,8,69.5,2.77,9.36,567.11,01651
00160,00488,01754,00689,2020-06-08,2,365.71,10.99,13.82,153.79,01812
00161,01533,00223,01101,2020-06-09,7,282.8,11.96,7.57,594.74,01774
00162,01335,01161,01967,2020-06-10,6,286.85,9.69,12.77,387.72,01085
00163,00589,01475,01630,2020-06-11,6,661.05,18.58,11.84,384.11,00549
00164,01708,01224,01773,2020-06-12,2,352.28,16.75,12.05,494.38,00657
00165,00934,00122,00775,2020-06-13,9,221.57,12.16,10.0,253.89,01513
00166,00886,01649,00831,2020-06-14,9,604.17,0.96,5.47,972.61,01263
00167,00476,00853,00755,2020-06-15,1,545.15,14.27,12.32,288.86,00447
00168,00553,01018,00242,2020-06-16,6,554.81,1.75,6.83,530.1,00003
00169,00782,00531,00060,2020-06-17,8,473.3,13.17,6.62,511.8,01998
00170,00693,01609,00805,2020-06-18,7,267.55,8.5,10.75,753.03,00134
00171,00839,01729,00260,2020-06-19,9,222.8,10.94,11.96,390.83,00575
00172,01523,00890,01948,2020-06-20,10,354.34,19.76,6.47,334.3,01068
00173,01899,01493,00805,2020-06-21,8,319.41,1.78,5.06,141.26,00118
00174,01281,01293,00192,2020-06-22,8,691.55,2.74,13.23,678.51,00761
00175,00308,00065,00241,2020-06-23,2,459.93,12.58,7.61,378.11,01928
00176,00264,01915,01219,2020-06-24,10,551.39,2.18,14.4,134.61,00012
00177,01163,01905,01726,2020-06-25,1,363.68,19.43,10.31,498.6,00405
00178,00755,01120,00922,2020-06-26,5,529.82,10.68,6.81,637.37,01559
00179,01588,00232,01306,2020-06-27,4,88.27,2.04,8.05,855.66,00853
00180,00718,00516,00680,2020-06-28,8,393.04,12.34,9.24,155.15,00057
00181,01948,00200,01795,2020-06-29,1,74.93,0.44,14.33,457.3,01619
00182,00436,01754,01043,2020-06-30,3,566.92,2.99,12.64,529.89,01209
00183,00496,00519,00041,2020-07-01,5,519.89,13.51,10.82,616.91,00670
00184,00187,01567,01832,2020-07-02,2,65.74,8.35,6.77,421.7,01507
00185,00686,00252,01293,2020-07-03,2,512.28,19.34,5.8,148.71,01638
00186,00563,01997,01479,2020-07-04,6,359.97,4.33,9.62,544.24,01328
00187,01572,00246,00651,2020-07-05,1,573.78,17.27,5.64,489.02,01581
00188,00626,00930,01580,2020-07-06,10,399.97,8.38,6.75,777.55,01196
00189,01712,01585,00952,2020-07-07,5,128.03,14.19,10.22,511.01,00621
00190,01266,00670,01640,2020-07-08,2,71.61,15.66,10.8,352.28,01363
00191,00465,00112,01226,2020-07-09,2,85.61,7.51,10.43,825.6,01587
00192,01495,00260,00991,2020-07-10,6,125.61,19.12,10.46,890.58,01948
00193,00357,00560,01314,2020-07-11,3,167.43,11.52,7.95,361.3,01346
00194,00747,01303,00704,2020-07-12,3,76.23,19.67,9.25,575.49,00997
00195,00074,01007,01406,2020-07-13,2,688.76,9.79,14.2,775.35,01210
00196,00186,00566,01530,2020-07-14,2,518.56,3.1,12.57,780.73,00633
00197,01211,01682,01676,2020-07-15,1,164.79,2.0,8.95,917.67,00931
00198,00848,00651,00166,2020-07-16,4,598.42,2.57,9.01,781.48,00543
00199,01139,00888,01693,2020-07-17,10,414.1,4.03,5.07,930.38,01021
00200,00597,01133,00539,2020-07-18,9,591.85,8.68,9.4,717.65,01942
00201,00026,00850,01261,2020-07-19,8,151.93,19.9,13.44,675.71,00997
00202,01562,01508,01193,2020-07-20,2,336.95,13.69,11.57,550.21,01884
00203,00365,01830,01491,2020-07-21,6,198.09,17.92,10.17,535.83,01997
00204,01136,01503,01681,2020-07-22,6,231.12,1.45,13.09,432.08,00543
00205,00158,01534,00216,2020-07-23,6,252.47,18.41,8.65,632.93,00116
00206,00748,01246,01825,2020-07-24,6,595.97,8.41,8.96,152.74,01253
00207,01821,00276,01391,2020-07-25,2,127.36,8.51,8.24,548.26,00357
00208,00150,01735,00188,2020-07-26,7,545.21,7.3,12.37,675.33,01530
00209,00995,00070,01635,2020-07-27,1,619.01,14.24,7.06,386.52,01549
00210,00451,00671,01925,2020-07-28,6,62.34,0.78,13.01,589.06,01986
00211,00003,01362,00683,2020-07-29,6,64.14,10.58,14.67,922.68,01317
00212,01898,01184,00872,2020-07-30,3,118.35,16.1,5.79,778.01,01814
00213,01078,01075,01493,2020-07-31,10,252.67,4.72,12.93,112.18,01133
00214,01517,00224,01697,2020-08-01,7,233.9,15.34,9.9,738.92,01604
00215,00615,00256,01718,2020-08-02,7,62.52,15.87,14.6,267.24,01446
00216,01276,00686,00589,2020-08-03,9,432.79,5.8,13.99,248.5,00655
00217,01399,00684,00680,2020-08-04,7,324.04,15.04,6.41,600.83,00191
00218,00539,01524,00209,2020-08-05,3,190.4,17.14,7.18,693.37,00792
00219,01684,01482,01441,2020-08-06,7,578.44,6.86,10.54,725.91,00599
00220,01071,00313,00436,2020-08-07,9,694.6,6.69,14.8,835.3,00347
00221,01756,00898,01839,2020-08-08,4,330.32,4.99,11.17,552.21,01367
00222,00235,00386,01804,2020-08-09,1,60.13,12.72,10.07,363.68,00579
00223,01547,00358,01018,2020-08-10,7,451.14,11.9,10.46,497.46,01699
00224,01233,00382,00949,2020-08-11,8,528.06,17.66,7.62,849.03,00858
00225,01104,00920,00159,2020-08-12,6,580.3,18.06,11.23,556.79,00211
00226,01310,00985,00853,2020-08-13,7,341.43,18.79,10.18,369.07,01700
00227,01401,01792,00080,2020-08-14,7,510.39,14.14,7.19,630.5,01237
00228,00987,00154,01445,2020-08-15,8,356.71,5.62,8.21,546.05,00708
00229,00870,01620,00269,2020-08-16,6,197.38,7.08,14.56,749.93,01826
00230,01278,01714,00765,2020-08-17,2,581.74,16.03,10.85,296.75,00501
00231,00024,01555,00596,2020-08-18,3,409.08,1.04,11.0,701.34,01532
00232,00960,00730,00002,2020-08-19,3,608.01,16.68,8.32,809.23,01101
00233,01708,00538,01394,2020-08-20,3,266.06,3.65,13.62,242.96,00022
00234,01112,01167,00028,2020-08-21,10,200.92,1.41,13.6,349.61,00390
00235,00465,00987,00940,2020-08-22,7,226.6,1.72,6.31,282.05,01277
00236,00515,00260,01272,2020-08-23,4,669.85,16.09,6.25,973.81,00110
00237,01247,01403,00605,2020-08-24,5,118.19,3.55,5.37,526.42,01972
00238,01788,01622,01123,2020-08-25,3,229.36,19.48,5.55,165.42,01330
00239,00548,01958,00369,2020-08-26,6,397.92,18.11,11.98,662.24,00022
00240,01705,00188,01017,2020-08-27,10,285.55,3.38,6.81,776.54,01213
00241,01827,01031,00248,2020-08-28,6,529.95,3.94,10.38,683.81,00898
00242,00038,01618,01606,2020-08-29,5,279.02,9.26,5.54,382.01,01804
00243,01424,00829,01049,2020-08-30,4,240.12,4.78,9.26,627.9,01026
00244,00235,01114,01792,2020-08-31,2,498.57,1.19,14.78,868.88,01763
00245,00474,00203,01474,2020-09-01,4,182.84,9.62,12.61,261.3,00191
00246,00702,01982,01999,2020-09-02,9,609.97,15.84,5.45,473.56,01573
00247,01300,01666,01248,2020-09-03,1,365.42,13.16,9.56,533.22,00216
00248,01210,00148,00061,2020-09-04,2,237.8,3.05,14.4,318.8,01372
00249,00594,01225,00039,2020-09-05,8,250.34,0.36,13.32,147.07,01688
00250,00481,01604,01398,2020-09-06,6,458.01,8.37,7.56,889.98,00988
00251,01404,00303,01810,2020-09-07,4,325.03,14.37,14.53,943.86,00744
00252,00669,00505,01976,2020-09-08,6,255.03,18.62,9.57,301.24,01060
00253,01679,00503,01858,2020-09-09,2,515.31,15.58,11.29,705.52,01807
00254,01194,01677,01817,2020-09-10,4,474.69,0.83,5.91,132.25,00636
00255,01391,01325,01649,2020-09-11,5,558.73,14.98,10.36,357.34,00298
00256,00073,00631,01634,2020-09-12,1,348.81,9.57,5.56,476.26,01411
00257,01764,01908,01316,2020-09-13,1,187.28,16.82,10.87,387.76,00660
00258,01388,01443,01554,2020-09-14,6,528.85,17.6,10.89,820.24,01815
00259,01586,01328,00782,2020-09-15,6,664.29,12.63,6.09,321.19,00388
00260,00249,00719,00679,2020-09-16,4,331.24,15.03,7.1,780.9,00937
00261,00927,01453,00945,2020-09-17,9,89.02,15.81,7.46,238.3,01986
00262,01155,00001,00435,2020-09-18,8,522.43,0.66,8.1,408.3,01927
00263,01285,01819,01201,2020-09-19,6,427.44,0.04,12.85,845.71,00639
00264,01322,00784,00867,2020-09-20,8,247.44,10.22,13.92,495.01,01448
00265,00196,00207,01748,2020-09-21,3,84.26,5.54,6.9,533.36,01413
00266,00900,00049,01778,2020-09-22,3,583.56,0.06,15.0,442.53,01047
00267,00674,01594,01280,2020-09-23,4,689.31,14.68,10.87,477.5,01128
00268,01704,01169,01106,2020-09-24,4,151.76,4.42,11.37,384.48,00211
00269,01415,00005,01261,2020-09-25,5,132.73,11.14,12.29,669.86,01449
00270,00264,00586,00273,2020-09-26,9,221.96,13.58,13.11,749.85,00541
00271,01558,01545,00629,2020-09-27,7,671.87,16.12,9.29,392.19,00727
00272,00088,00905,01397,2020-09-28,7,327.9,7.45,8.2,448.35,00120
00273,01588,01321,01993,2020-09-29,8,173.19,19.51,11.3,470.8,00287
00274,00913,00735,00611,2020-09-30,10,419.94,13.12,8.92,456.94,00055
00275,01208,00154,00063,2020-10-01,1,65.81,18.95,8.9,898.11,01322
00276,01053,01368,01103,2020-10-02,6,76.12,3.74,14.95,762.14,01603
00277,01650,01179,00351,2020-10-03,2,122.35,0.17,10.91,659.03,01135
00278,00162,00949,00624,2020-10-04,7,490.67,0.77,13.09,369.06,00184
00279,00950,00313,01290,2020-10-05,7,527.88,6.67,6.26,967.01,00524
00280,00151,00324,00111,2020-10-06,4,320.5,3.86,6.06,995.25,00936
00281,01776,01080,01582,2020-10-07,3,65.91,13.42,8.05,628.61,01072
00282,01319,00988,01818,2020-10-08,2,527.67,9.93,10.98,493.43,01069
00283,01321,00750,01907,2020-10-09,4,605.13,8.91,12.31,149.11,00568
00284,01163,01948,01892,2020-10-10,5,137.52,12.83,10.28,728.07,01677
00285,00933,01946,00664,2020-10-11,1,511.14,15.51,10.64,482.24,01091
00286,00327,00694,01142,2020-10-12,4,435.41,13.87,9.56,836.69,01390
00287,00556,01127,01316,2020-10-13,4,153.73,17.67,14.9,403.07,01254
00288,01955,01552,00580,2020-10-14,4,508.31,19.0,8.76,911.62,00236
00289,01804,01775,00522,2020-10-15,10,320.64,2.88,7.44,235.83,01959
00290,01915,01015,01373,2020-10-16,5,483.85,12.23,11.83,777.46,00937
00291,01232,01888,00200,2020-10-17,7,474.33,12.04,13.92,856.05,01558
00292,01403,00333,01383,2020-10-18,5,118.86,6.53,10.27,999.11,00285
00293,00637,00487,01006,2020-10-19,6,526.76,6.31,9.44,986.02,00549
00294,01625,00502,00753,2020-10-20,7,688.04,19.96,5.13,273.39,01388
00295,01171,00778,01667,2020-10-21,8,542.78,1.66,6.29,166.25,01905
00296,00977,00144,01886,2020-10-22,10,283.03,12.9,6.92,407.91,00235
00297,00447,01393,00152,2020-10-23,9,100.34,18.03,6.83,118.75,01592
00298,00848,01784,01910,2020-10-24,7,669.06,8.69,5.12,823.88,01380
00299,01361,01404,00897,2020-10-25,2,210.76,5.65,5.5,694.62,00108
00300,00993,00482,00718,2020-10-26,5,88.13,0.21,14.69,710.67,00297
00301,01990,00012,00985,2020-10-27,7,348.95,10.25,11.93,867.34,00878
00302,01095,00196,01866,2020-10-28,10,646.66,18.16,8.64,644.69,01247
00303,01616,01718,01589,2020-10-29,3,261.34,17.3,10.79,486.85,01579
00304,00795,00373,01377,2020-10-30,8,215.31,15.64,14.42,980.46,01919
00305,01484,01098,00934,2020-10-31,10,152.97,16.72,5.54,642.19,00977
00306,01013,01046,00702,2020-11-01,2,695.17,9.22,10.65,238.34,01309
00307,00338,01591,01533,2020-11-02,1,73.86,8.18,9.16,500.74,00334
00308,01898,00433,00630,2020-11-03,5,213.8,8.05,7.18,466.92,00038
00309,00414,01536,01777,2020-11-04,7,112.24,18.93,10.7,347.38,00135
00310,01519,01716,01522,2020-11-05,9,377.03,10.32,10.46,973.51,00960
00311,00372,01830,00154,2020-11-06,2,570.34,4.87,7.71,129.11,01754
00312,00185,01689,00618,2020-11-07,3,331.98,0.72,8.07,664.73,01305
00313,00804,00990,01811,2020-11-08,1,470.68,11.73,9.7,911.5,01295
00314,00873,01747,01760,2020-11-09,10,358.67,16.77,13.7,194.38,01413
00315,00833,01945,00520,2020-11-10,8,99.71,1.69,6.95,336.23,01553
00316,01654,00688,00213,2020-11-11,1,152.92,11.46,11.92,866.91,00068
00317,00577,01032,00997,2020-11-12,3,128.35,11.92,6.94,142.27,01963
00318,00251,01054,01265,2020-11-13,8,69.2,12.69,7.78,282.43,01244
00319,00600,00272,00958,2020-11-14,9,663.51,14.6,7.01,944.04,00634
00320,01694,00138,01058,2020-11-15,6,519.97,9.78,13.24,849.25,00755
00321,01322,00246,01778,2020-11-16,1,642.18,0.78,8.17,315.22,01464
00322,00083,01269,00948,2020-11-17,1,424.88,18.16,8.08,967.62,00167
00323,01449,00485,01596,2020-11-18,7,579.5,14.12,9.53,776.28,00960
00324,00743,01513,00390,2020-11-19,3,91.71,15.12,14.09,471.26,01631
00325,01243,00659,01593,2020-11-20,6,445.12,9.51,13.86,659.37,01986
00326,01380,00545,01959,2020-11-21,10,667.0,0.92,12.52,203.63,01920
00327,00327,00334,00782,2020-11-22,4,429.03,12.76,6.13,970.98,01691
00328,00151,00816,00722,2020-11-23,4,605.32,17.53,14.17,369.97,01611
00329,00861,00976,00457,2020-11-24,8,415.92,16.67,8.67,809.78,01725
00330,00745,01888,00531,2020-11-25,5,92.36,11.52,8.97,176.22,00574
00331,01271,00975,01071,2020-11-26,10,576.41,10.27,10.59,822.65,01272
00332,01430,00960,00002,2020-11-27,2,628.1,17.54,12.42,562.2,01763
00333,00811,01727,00452,2020-11-28,8,281.4,9.2,12.83,433.4,00556
00334,01490,01750,00398,2020-11-29,4,514.09,0.57,11.05,486.24,00065
00335,00154,00036,01745,2020-11-30,10,692.3,17.78,6.68,523.69,00002
00336,01602,00751,01850,2020-12-01,3,620.55,2.03,7.01,175.24,00453
00337,00306,00629,01702,2020-12-02,7,281.27,19.86,8.73,307.86,00372
00338,01375,01662,00410,2020-12-03,6,657.94,0.09,12.84,424.01,00072
00339,00993,00581,01208,2020-12-04,3,367.46,14.71,13.71,192.43,00566
00340,00770,00742,00806,2020-12-05,9,340.69,17.73,13.13,689.79,01174
00341,01168,01659,00362,2020-12-06,6,201.78,1.57,9.13,423.75,01323
00342,00277,01851,01846,2020-12-07,10,292.56,9.02,5.2,690.09,00518
00343,01479,01792,00980,2020-12-08,3,467.28,16.84,6.62,909.79,01743
00344,00423,01218,00578,2020-12-09,2,378.77,5.19,13.59,373.27,01828
00345,00501,00557,00458,2020-12-10,1,266.06,7.37,12.69,220.87,00257
